,Ws_avg
2013-07-05 02:40:00+00:00,1.4333333333333336
2013-07-05 02:50:00+00:00,1.05
2013-07-05 03:00:00+00:00,0.7266666660000001
2013-07-05 03:10:00+00:00,0.403333332
2013-07-05 03:20:00+00:00,0.079999998
2013-07-05 03:30:00+00:00,0.0599999985
2013-07-05 03:40:00+00:00,0.039999999
2013-07-05 03:50:00+00:00,0.0199999995
2013-07-05 04:00:00+00:00,0.0
2013-07-05 04:10:00+00:00,0.0
2013-07-05 04:20:00+00:00,0.0
2013-07-05 04:30:00+00:00,0.0
2013-07-05 04:40:00+00:00,0.0
2013-07-05 04:50:00+00:00,0.0
2013-07-05 05:00:00+00:00,0.0
2013-07-05 05:10:00+00:00,0.0
2013-07-05 05:20:00+00:00,0.0
